Korean,Correct,CorrectKorean,Wrong,WrongKorean
"축구를 하러 가자고 제안하기","Let's go play soccer!","축구하러 가자!","The fish is flying.","물고기가 날고 있어요."
"농구 경기 보고 싶냐고 물어보기","Do you want to watch a basketball game?","농구 경기 보고 싶어?","The tree is talking.","나무가 말하고 있어요."
"야구가 언제 시작하냐고 물어보기","When does the baseball game start?","야구 경기 언제 시작해?","The sun is swimming.","해가 수영하고 있어요."
"테니스 라켓을 들고 오라고 말하기","Bring your tennis racket.","테니스 라켓 가져와.","The book is running.","책이 달리고 있어요."
"오늘 테니스 치고 싶다고 말하기","I want to play tennis today.","오늘 테니스 치고 싶어.","The bird is driving.","새가 운전하고 있어요."
"수영하러 가자고 제안하기","Let's go swimming!","수영하러 가자!","The pencil is singing.","연필이 노래하고 있어요."
"축구팀 응원하러 가자고 제안하기","Let's go cheer for the soccer team!","축구팀 응원하러 가자!","The rock is flying.","바위가 날고 있어요."
"농구 경기에서 이기고 싶다고 말하기","I want to win the basketball game.","농구 경기에서 이기고 싶어.","The moon is laughing.","달이 웃고 있어요."
"야구공을 던져달라고 말하기","Throw me the baseball.","야구공 던져줘.","The car is talking.","차가 말하고 있어요."
"테니스 공을 쳐보라고 말하기","Hit the tennis ball.","테니스 공을 쳐봐.","The river is swimming.","강이 수영하고 있어요."
"수영장에 가자고 제안하기","Shall we go to the swimming pool?","수영장에 갈까?","The sun is dancing.","해가 춤추고 있어요."
"축구를 하자고 제안하기","Let's play soccer!","축구하자!","The clock is flying.","시계가 날고 있어요."
"농구공을 가져오라고 말하기","Bring the basketball.","농구공 가져와.","The tree is swimming.","나무가 수영하고 있어요."
"야구를 하러 가자고 제안하기","Let's go play baseball!","야구하러 가자!","The flower is driving.","꽃이 운전하고 있어요."
"수영장에 언제 갈 거냐고 물어보기","When are we going to the swimming pool?","수영장에 언제 갈 거야?","The book is singing.","책이 노래하고 있어요."
"농구 경기 이기고 싶다고 말하기","I want to win the basketball game.","농구 경기 이기고 싶어.","The bed is running.","침대가 달리고 있어요."
"축구를 잘하는지 물어보기","Are you good at soccer?","축구 잘해?","The bird is talking.","새가 말하고 있어요."
"테니스 경기 보고 싶냐고 물어보기","Do you want to watch a tennis match?","테니스 경기 보고 싶어?","The river is flying.","강이 날고 있어요."
"야구공을 치라고 말하기","Hit the baseball.","야구공 쳐봐.","The pencil is running.","연필이 달리고 있어요."
"수영장에 가서 놀자고 제안하기","Let's go play at the swimming pool!","수영장에 가서 놀자!","The rock is talking.","바위가 말하고 있어요."
"농구공을 던져달라고 말하기","Throw me the basketball.","농구공 던져줘.","The clock is singing.","시계가 노래하고 있어요."
"축구 경기에서 응원하자고 제안하기","Let's cheer at the soccer game!","축구 경기에서 응원하자!","The sun is running.","해가 달리고 있어요."
"테니스 라켓을 가져오라고 말하기","Bring the tennis racket.","테니스 라켓 가져와.","The moon is driving.","달이 운전하고 있어요."
"야구 경기 보러 가자고 제안하기","Shall we go watch the baseball game?","야구 경기 보러 갈까?","The river is talking.","강이 말하고 있어요."
"수영 잘하냐고 물어보기","Are you good at swimming?","수영 잘해?","The pencil is dancing.","연필이 춤추고 있어요."
"농구 경기에서 응원하자고 제안하기","Let's cheer at the basketball game!","농구 경기에서 응원하자!","The bird is flying.","새가 날고 있어요."
"축구 경기에 출전하냐고 물어보기","Are you playing in the soccer game?","축구 경기에 출전해?","The clock is jumping.","시계가 점프하고 있어요."
"테니스 치러 가자고 제안하기","Let's go play tennis!","테니스 치러 가자!","The flower is running.","꽃이 달리고 있어요."
"수영을 잘하냐고 물어보기","Are you good at swimming?","수영 잘해?","The tree is flying.","나무가 날고 있어요."
"야구 경기에서 응원하자고 제안하기","Let's cheer at the baseball game!","야구 경기에서 응원하자!","The rock is swimming.","바위가 수영하고 있어요."
"축구공을 던져달라고 말하기","Throw me the soccer ball.","축구공 던져줘.","The river is laughing.","강이 웃고 있어요."
"테니스 경기 이기고 싶다고 말하기","I want to win the tennis match.","테니스 경기 이기고 싶어.","The pencil is talking.","연필이 말하고 있어요."
