Korean,Correct,CorrectKorean,Wrong,WrongKorean
"눈은 어디에 있나요?","Where are the eyes?","눈은 어디에 있나요?","The book is running.","책이 달리고 있어요."
"손가락으로 코 만지기","Touch your nose with your finger.","손가락으로 코를 만지세요.","The chair is flying.","의자가 날고 있어요."
"발로 땅을 밟아보세요.","Stomp your feet on the ground.","발로 땅을 밟아보세요.","The tree is talking.","나무가 말하고 있어요."
"머리를 흔들어보세요.","Shake your head.","머리를 흔들어보세요.","The car is dancing.","차가 춤추고 있어요."
"팔로 하늘을 가리켜보세요.","Point to the sky with your arm.","팔로 하늘을 가리켜보세요.","The water is singing.","물이 노래하고 있어요."
"무릎을 구부려보세요.","Bend your knees.","무릎을 구부려보세요.","The fish is flying.","물고기가 날고 있어요."
"손으로 턱을 만져보세요.","Touch your chin with your hand.","손으로 턱을 만져보세요.","The pencil is laughing.","연필이 웃고 있어요."
"발끝으로 서보세요.","Stand on your tiptoes.","발끝으로 서보세요.","The book is jumping.","책이 점프하고 있어요."
"귀를 막아보세요.","Cover your ears.","귀를 막아보세요.","The sun is swimming.","해가 수영하고 있어요."
"눈을 감아보세요.","Close your eyes.","눈을 감아보세요.","The flower is dancing.","꽃이 춤추고 있어요."
"손가락으로 머리 가리키기","Point to your head with your finger.","손가락으로 머리를 가리키세요.","The car is flying.","차가 날고 있어요."
"팔을 높이 들어보세요.","Raise your arms high.","팔을 높이 들어보세요.","The dog is singing.","강아지가 노래하고 있어요."
"발을 모아보세요.","Put your feet together.","발을 모아보세요.","The bird is driving a car.","새가 차를 운전하고 있어요."
"팔꿈치를 구부려보세요.","Bend your elbows.","팔꿈치를 구부려보세요.","The house is talking.","집이 말하고 있어요."
"발을 벌려보세요.","Spread your legs.","발을 벌려보세요.","The tree is swimming.","나무가 수영하고 있어요."
"머리를 빗어보세요.","Brush your hair.","머리를 빗어보세요.","The river is dancing.","강이 춤추고 있어요."
"발끝을 만져보세요.","Touch your toes.","발끝을 만져보세요.","The fish is laughing.","물고기가 웃고 있어요."
"손으로 발바닥을 만져보세요.","Touch the sole of your foot with your hand.","손으로 발바닥을 만져보세요.","The clock is running.","시계가 달리고 있어요."
"발가락을 흔들어보세요.","Wiggle your toes.","발가락을 흔들어보세요.","The rock is flying.","바위가 날고 있어요."
"눈을 깜빡여보세요.","Blink your eyes.","눈을 깜빡여보세요.","The sun is singing.","해가 노래하고 있어요."
"손으로 어깨를 만져보세요.","Touch your shoulders with your hands.","손으로 어깨를 만져보세요.","The grass is laughing.","풀이 웃고 있어요."
"귀를 잡아보세요.","Grab your ears.","귀를 잡아보세요.","The bed is flying.","침대가 날고 있어요."
"코를 간지럽히세요.","Tickle your nose.","코를 간지럽히세요.","The moon is dancing.","달이 춤추고 있어요."
"눈썹을 올려보세요.","Raise your eyebrows.","눈썹을 올려보세요.","The river is talking.","강이 말하고 있어요."
"무릎을 꿇어보세요.","Kneel down.","무릎을 꿇어보세요.","The pencil is swimming.","연필이 수영하고 있어요."
"입을 벌려보세요.","Open your mouth.","입을 벌려보세요.","The cloud is jumping.","구름이 점프하고 있어요."
"다리를 교차해보세요.","Cross your legs.","다리를 교차해보세요.","The sun is laughing.","해가 웃고 있어요."
"팔짱을 껴보세요.","Fold your arms.","팔짱을 껴보세요.","The rock is running.","바위가 달리고 있어요."
"손으로 무릎을 두드리세요.","Tap your knees with your hands.","손으로 무릎을 두드리세요.","The fish is dancing.","물고기가 춤추고 있어요."
"발을 높이 들어보세요.","Lift your foot high.","발을 높이 들어보세요.","The bird is laughing.","새가 웃고 있어요."
"손으로 발목을 잡아보세요.","Hold your ankle with your hand.","손으로 발목을 잡아보세요.","The chair is flying.","의자가 날고 있어요."
"눈을 비비지 마세요.","Don't rub your eyes.","눈을 비비지 마세요.","The house is running.","집이 달리고 있어요."
"손으로 턱을 받쳐보세요.","Support your chin with your hand.","손으로 턱을 받쳐보세요.","The river is singing.","강이 노래하고 있어요."
"다리를 흔들어보세요.","Shake your legs.","다리를 흔들어보세요.","The sun is driving a car.","해가 차를 운전하고 있어요."
"손으로 팔을 잡아보세요.","Grab your arm with your hand.","손으로 팔을 잡아보세요.","The bed is laughing.","침대가 웃고 있어요."
"입술을 핥아보세요.","Lick your lips.","입술을 핥아보세요.","The cloud is talking.","구름이 말하고 있어요."
"손바닥을 비벼보세요.","Rub your palms together.","손바닥을 비벼보세요.","The pencil is jumping.","연필이 점프하고 있어요."
"발로 공을 차보세요.","Kick the ball with your foot.","발로 공을 차보세요.","The fish is flying.","물고기가 날고 있어요."
"손으로 등을 긁어보세요.","Scratch your back with your hand.","손으로 등을 긁어보세요.","The rock is swimming.","바위가 수영하고 있어요."
"손으로 손목을 만져보세요.","Touch your wrist with your hand.","손으로 손목을 만져보세요.","The bird is flying.","새가 날고 있어요."
"발로 바닥을 두드리세요.","Tap the floor with your foot.","발로 바닥을 두드리세요.","The car is talking.","차가 말하고 있어요."
"손으로 뺨을 만져보세요.","Touch your cheek with your hand.","손으로 뺨을 만져보세요.","The sun is swimming.","해가 수영하고 있어요."
"손가락을 교차해보세요.","Cross your fingers.","손가락을 교차해보세요.","The table is running.","테이블이 달리고 있어요."
"발목을 돌려보세요.","Rotate your ankle.","발목을 돌려보세요.","The river is laughing.","강이 웃고 있어요."
"손으로 머리를 감싸보세요.","Cover your head with your hands.","손으로 머리를 감싸보세요.","The moon is jumping.","달이 점프하고 있어요."
"팔을 쭉 펴보세요.","Stretch your arms.","팔을 쭉 펴보세요.","The fish is driving.","물고기가 운전하고 있어요."
"손으로 무릎을 잡아보세요.","Grab your knee with your hand.","손으로 무릎을 잡아보세요.","The bird is talking.","새가 말하고 있어요."
"입을 다물어보세요.","Close your mouth.","입을 다물어보세요.","The clock is flying.","시계가 날고 있어요."
"발을 가볍게 두드리세요.","Gently tap your feet.","발을 가볍게 두드리세요.","The chair is swimming.","의자가 수영하고 있어요."
"손으로 발목을 잡아보세요.","Hold your ankle with your hand.","손으로 발목을 잡아보세요.","The river is singing.","강이 노래하고 있어요."
