Korean,Correct,CorrectKorean,Wrong,WrongKorean
"크리스마스에 뭐 하고 싶냐고 물어보기","What do you want to do for Christmas?","크리스마스에 뭐 하고 싶어?","The fish is jumping.","물고기가 뛰고 있어요."
"생일에 파티를 하자고 제안하기","Let's have a party for your birthday!","생일에 파티하자!","The tree is swimming.","나무가 수영하고 있어요."
"할로윈에 코스튬 입고 싶냐고 물어보기","Do you want to wear a costume for Halloween?","할로윈에 코스튬 입고 싶어?","The book is talking.","책이 말하고 있어요."
"추수감사절에 칠면조를 먹자고 제안하기","Let's eat turkey for Thanksgiving!","추수감사절에 칠면조 먹자!","The sun is swimming.","해가 수영하고 있어요."
"생일에 친구들 초대하냐고 물어보기","Are you inviting friends to your birthday?","생일에 친구들 초대해?","The moon is laughing.","달이 웃고 있어요."
"발렌타인데이에 초콜릿 줄거냐고 물어보기","Are you giving chocolates for Valentine's Day?","발렌타인데이에 초콜릿 줄 거야?","The river is flying.","강이 날고 있어요."
"할로윈에 사탕을 주냐고 물어보기","Do you give out candy on Halloween?","할로윈에 사탕 줄 거야?","The pencil is singing.","연필이 노래하고 있어요."
"새해에 불꽃놀이 보러 가자고 제안하기","Let's go watch fireworks for New Year's!","새해에 불꽃놀이 보러 가자!","The rock is dancing.","바위가 춤추고 있어요."
"생일에 특별한 계획이 있냐고 물어보기","Do you have special plans for your birthday?","생일에 특별한 계획 있어?","The car is talking.","차가 말하고 있어요."
"추수감사절에 가족과 함께 저녁 먹자고 제안하기","Let's have dinner with family on Thanksgiving!","추수감사절에 가족과 저녁 먹자!","The tree is singing.","나무가 노래하고 있어요."
"발렌타인데이에 카드 줄거냐고 물어보기","Are you giving cards for Valentine's Day?","발렌타인데이에 카드 줄 거야?","The sun is running.","해가 달리고 있어요."
"크리스마스 트리 장식하자고 제안하기","Let's decorate the Christmas tree!","크리스마스 트리 장식하자!","The moon is driving.","달이 운전하고 있어요."
"새해에 결심한 것이 있냐고 물어보기","Do you have any New Year's resolutions?","새해에 결심한 거 있어?","The river is laughing.","강이 웃고 있어요."
"생일에 케이크 만들자고 제안하기","Let's make a cake for your birthday!","생일에 케이크 만들자!","The pencil is running.","연필이 달리고 있어요."
"추수감사절에 어떤 음식을 먹고 싶냐고 물어보기","What do you want to eat on Thanksgiving?","추수감사절에 뭐 먹고 싶어?","The bird is flying.","새가 날고 있어요."
"발렌타인데이에 장미꽃 줄거냐고 물어보기","Are you giving roses for Valentine's Day?","발렌타인데이에 장미꽃 줄 거야?","The clock is singing.","시계가 노래하고 있어요."
"할로윈에 어떤 코스튬을 입고 싶냐고 물어보기","What costume do you want to wear for Halloween?","할로윈에 어떤 코스튬 입고 싶어?","The sun is laughing.","해가 웃고 있어요."
"크리스마스에 산타클로스를 믿냐고 물어보기","Do you believe in Santa Claus for Christmas?","크리스마스에 산타클로스를 믿어?","The rock is flying.","바위가 날고 있어요."
"새해에 친구들 만나러 가자고 제안하기","Let's go meet friends for New Year's!","새해에 친구들 만나러 가자!","The river is talking.","강이 말하고 있어요."
"생일에 어떤 선물을 받고 싶냐고 물어보기","What gift do you want for your birthday?","생일에 어떤 선물 받고 싶어?","The pencil is flying.","연필이 날고 있어요."
"추수감사절에 가족과 함께 시간을 보내냐고 물어보기","Do you spend time with family on Thanksgiving?","추수감사절에 가족과 함께 시간 보내?","The moon is dancing.","달이 춤추고 있어요."
"발렌타인데이에 어떤 초콜릿을 줄거냐고 물어보기","What chocolates are you giving for Valentine's Day?","발렌타인데이에 어떤 초콜릿 줄 거야?","The sun is running.","해가 달리고 있어요."
"크리스마스에 친구들에게 선물 줄거냐고 물어보기","Are you giving gifts to friends for Christmas?","크리스마스에 친구들에게 선물 줄 거야?","The tree is talking.","나무가 말하고 있어요."
"새해에 불꽃놀이 보러 갈거냐고 물어보기","Are you going to watch fireworks for New Year's?","새해에 불꽃놀이 보러 갈 거야?","The book is swimming.","책이 수영하고 있어요."
"할로윈에 집을 장식하자고 제안하기","Let's decorate the house for Halloween!","할로윈에 집을 장식하자!","The fish is flying.","물고기가 날고 있어요."
"생일에 파티 초대장을 보내냐고 물어보기","Are you sending invitations for your birthday party?","생일에 파티 초대장 보내?","The car is singing.","차가 노래하고 있어요."
"추수감사절에 어떤 음식을 준비할거냐고 물어보기","What food are you preparing for Thanksgiving?","추수감사절에 어떤 음식 준비할 거야?","The moon is jumping.","달이 점프하고 있어요."
"발렌타인데이에 누구에게 초콜릿을 줄거냐고 물어보기","Who are you giving chocolates to for Valentine's Day?","발렌타인데이에 누구에게 초콜릿 줄 거야?","The tree is swimming.","나무가 수영하고 있어요."
"크리스마스에 누구와 시간을 보낼거냐고 물어보기","Who are you spending Christmas with?","크리스마스에 누구와 시간 보낼 거야?","The clock is driving.","시계가 운전하고 있어요."
"새해에 어떤 계획이 있냐고 물어보기","What plans do you have for New Year's?","새해에 어떤 계획 있어?","The river is dancing.","강이 춤추고 있어요."
"생일에 케이크를 먹자고 제안하기","Let's eat cake for your birthday!","생일에 케이크 먹자!","The bird is flying.","새가 날고 있어요."
"추수감사절에 파이 만들자고 제안하기","Let's make pie for Thanksgiving!","추수감사절에 파이 만들자!","The sun is swimming.","해가 수영하고 있어요."
"할로윈에 사탕을 받을 거냐고 물어보기","Are you going to get candy on Halloween?","할로윈에 사탕 받을 거야?","The pencil is singing.","연필이 노래하고 있어요."
"발렌타인데이에 카드 만들자고 제안하기","Let's make cards for Valentine's Day!","발렌타인데이에 카드 만들자!","The rock is jumping.","바위가 점프하고 있어요."
"크리스마스에 가족과 함께 교회 가자고 제안하기","Let's go to church with family for Christmas!","크리스마스에 가족과 함께 교회 가자!","The tree is talking.","나무가 말하고 있어요."
"새해에 불꽃놀이를 좋아하냐고 물어보기","Do you like fireworks on New Year's?","새해에 불꽃놀이 좋아해?","The book is flying.","책이 날고 있어요."
"생일에 친구들과 함께 놀자고 제안하기","Let's hang out with friends on your birthday!","생일에 친구들과 함께 놀자!","The fish is driving.","물고기가 운전하고 있어요."
"추수감사절에 특별한 계획이 있냐고 물어보기","Do you have special plans for Thanksgiving?","추수감사절에 특별한 계획 있어?","The sun is talking.","해가 말하고 있어요."
